DrugName,binding_energy,TPSA,molecular_weight,XLogPs-AA,HBD,HBA,n_ROTB,n_benzene_ring,n_single_bond,n_double_bond,n_h,n_c,n_n,n_o,n_f
CC(c1cc(cc(c1)Cl)F)NC(=O)CCl,7.678748547704328,29.1,250.09999999999997,2.895100000000001,1,1,3,1,8,1,10,10,1,1,1
CC(c1cc(cc(c1)Cl)c2ccc(cc2)S(=O)(=O)N)NC(=O)CCl,9.279329969132522,89.25999999999999,387.2880000000001,3.070400000000001,2,3,5,2,10,3,16,16,2,3,0
CC(c1ccc(c(c1)Cl)Cl)C(=O)Nc2cncc3c2cccc3,9.113778690124231,41.99,345.22900000000004,5.283800000000004,1,2,3,3,7,1,14,18,2,1,0
CC1(CC1)c2ccc(cc2)N(C(c3cccnc3)C(=O)Nc4ccc(cc4)Br)C(=O)C=C,7.711513958050558,62.300000000000004,490.4010000000002,5.7946000000000035,1,3,7,3,14,3,24,26,3,2,0
CC1(CCNC1=O)NC(=O)Cc2cccc(c2)Cl,7.00436480540245,58.2,266.72799999999995,1.2772999999999999,2,2,3,1,11,2,15,13,2,2,0
CC1C(CCCN1Cc2ccccc2)O,7.00436480540245,23.47,205.30100000000004,2.0318,1,2,2,1,10,0,19,13,1,1,0
CC1CCN(CC1)CCCNC(=O)Nc2cn(c(=O)c3c2cccc3)CC(C)C,7.0076930805056685,66.37,398.5510000000002,3.9010000000000025,2,4,7,2,18,2,34,23,4,2,0
CC1CCNC(=O)C1NC(=O)Cc2cccc(c2)Cl,7.00436480540245,58.2,280.755,1.5232999999999997,2,2,3,1,12,2,17,14,2,2,0
CC1CN(CCN1C(=O)CCl)Cc2cccc(c2)Cl,8.682473929533893,23.55,301.217,2.6115000000000004,0,2,3,1,13,1,18,14,2,1,0
CC1CN(CCN1c2cccc(c2)Cl)C(=O)c3cc(=O)[nH]c4c3cccc4,7.00436480540245,56.410000000000004,381.8630000000001,3.5324000000000018,1,3,2,3,11,2,20,21,3,2,0
CC1c2cc(c(cc2CCN1C(=O)Nc3cn(c(=O)c4c3cccc4)C)OC)OC,7.00436480540245,72.80000000000001,407.47000000000014,3.706900000000002,1,5,3,3,14,2,25,23,3,4,0
CCC(=O)Nc1ccc(cc1)N(C)C(=O)Cn2c3ccccc3nn2,7.00436480540245,80.12,337.383,2.4428,1,5,5,3,9,2,19,18,5,2,0
CCC(=O)Nc1ccc(cc1)N(Cc2ccccc2)C(=O)Nn3c4ccccc4nn3,8.428653261926488,92.15,414.4690000000001,4.150100000000003,2,5,6,4,10,2,22,23,6,2,0
CCC(=O)Nc1ccc(cc1)N(Cc2ccccc2)C(=O)n3c4ccccc4nn3,7.00436480540245,80.12,399.4540000000001,4.454700000000003,1,5,5,4,9,2,21,23,5,2,0
CCC(=O)Nc1ccc(cc1)N(Cc2ccsc2)C(=O)Cn3c4ccccc4nn3,7.900932353149607,80.12,419.51000000000016,4.074700000000003,1,6,7,4,10,2,21,22,5,2,0
CCC(=O)Nc1ccc(cc1)N(Cc2cscn2)C(=O)Cn3c4ccccc4nn3,7.336511900350155,93.01,420.49800000000016,3.4697000000000013,1,7,7,4,10,2,20,21,6,2,0
CCCC(c1cccc(c1)Cl)C(=O)Nc2cnccc2C,8.261269226710546,41.99,302.80500000000006,4.565820000000003,1,2,5,2,9,1,19,17,2,1,0
CCCCN(CCCNC(=O)Nc1cn(c(=O)c2c1cccc2)CC(C)C)c3ccccc3,7.082543010693079,66.37,448.61100000000016,5.475800000000005,2,4,11,3,16,2,36,27,4,2,0
CCCCN(CCNC(=O)Nc1cn(c(=O)c2c1cccc2)C)Cc3ccco3,7.00436480540245,79.51,396.49100000000016,3.5553000000000026,2,5,9,3,13,2,28,22,4,3,0
CCCCN1c2c(cc(cc2C(=O)C1=O)Br)C,7.239933440705927,37.38,296.164,3.086920000000002,0,2,3,1,10,2,14,13,1,2,0
CCCCOc1ccc(cc1CC(=O)Nc2cnccc2C)Cl,7.804492592739839,51.22,332.831,4.403520000000003,1,3,7,2,11,1,21,18,2,2,0
CCCCc1[nH]cc(n1)c2nccn2CC(F)(F)F,7.00436480540245,46.5,272.274,3.1781000000000015,1,3,5,2,10,0,15,12,4,0,3
CCCCc1[nH]cc(n1)c2nccn2CCc3ccccn3,7.00436480540245,59.39,295.39,3.2535000000000016,1,4,7,3,8,0,21,17,5,0,0
CCCOc1c(cc(cc1Cl)C(=O)N2CCC(CC2)C3CCNC3)OCC,7.00436480540245,50.8,394.9430000000002,3.989200000000002,1,4,7,1,22,1,31,21,2,3,0
CCCc1c([nH]c2c(c1=O)c(=O)n([nH]2)c3ccccc3)C,7.00436480540245,70.65,283.331,2.26802,2,3,3,3,5,2,17,16,3,2,0
CCCc1cc2c(cc1S(=O)(=O)N3CCN(CC3)c4ccccc4)OCO2,7.796710628098526,59.08000000000001,388.4890000000001,2.878700000000001,0,5,5,2,16,2,24,20,2,4,0
CCN(CC)S(=O)(=O)c1ccc(cc1)NC(=O)Nc2cn(c(=O)c3c2cccc3)C,7.00436480540245,100.50999999999999,428.5140000000002,3.213000000000001,2,5,6,3,11,4,24,21,4,4,0
CCN(c1ccccc1)S(=O)(=O)c2ccc(c(c2)NC(=O)CCl)OC,8.157603642239074,75.71000000000001,382.8690000000001,3.0877000000000008,1,4,7,2,11,3,19,17,2,4,0
CCNC(=O)C(c1cccnc1)N(c2ccc(cc2)C(C)(C)C)C(=O)C=C,7.712398015221227,62.300000000000004,365.4770000000002,3.7755000000000027,1,3,6,2,13,3,27,22,3,2,0
CCNc1c(cc(cn1)C#N)CN2CCN(CC2)C(=O)CCl,8.785157736230184,72.26,321.812,1.2680799999999999,1,5,5,1,15,1,20,15,5,1,0
CCOC(=O)Cc1csc(n1)NC(=O)Nc2cn(c(=O)c3c2cccc3)CC(C)C,7.00436480540245,102.32,428.51400000000024,3.8636000000000026,2,7,7,3,13,3,24,21,4,4,0
CCOC(=O)N1CCC(CC1)NC(=O)Nc2cn(c(=O)c3c2cccc3)C,7.00436480540245,92.66999999999999,372.4250000000001,2.2809,2,5,3,2,15,3,24,19,4,4,0
CCOC(=O)c1c(cnc(n1)S(=O)(=O)C)Cl,8.983350113473458,86.22,264.69,0.7102000000000002,0,6,3,1,7,3,9,8,2,4,0
CCOC(=O)c1c(n(c2c1cc(cc2)N(C(=O)c3ccco3)S(=O)(=O)C)S(=O)(=O)C)C,9.832079056723993,132.95999999999998,468.5090000000002,2.13352,0,9,6,3,12,6,20,19,2,8,0
CCOC(=O)c1c2ccccc2oc1COc3cc(cc(c3)Cl)CC(=O)Nc4cnccc4C,7.00436480540245,90.66000000000001,478.9320000000002,5.726520000000004,1,6,8,4,13,2,23,26,2,5,0
CCOC(=O)c1cc(n[nH]1)c2cc(cc(c2)Cl)CC(=O)Nc3cnccc3C,7.00436480540245,96.97,398.85000000000014,3.7914200000000022,2,5,6,3,11,2,19,20,4,3,0
CCOC(=O)c1cc(sc1NC(=O)Cc2csc(n2)c3ccccc3)c4ccccc4,8.570362645558053,68.28999999999999,448.5690000000001,5.896500000000005,1,6,7,4,10,2,20,24,2,3,0
CCOC(=O)c1ccc(cc1)NC(=O)CC2C(=O)N(C(=O)S2)c3ccccc3,9.197281863245417,92.78,398.44000000000005,3.4605000000000024,1,6,6,2,14,4,18,20,2,5,0
CCOC(=O)c1ccc(cc1)NC(=O)Nc2cn(c(=O)c3c2cccc3)C,7.00436480540245,89.42999999999998,365.3890000000001,3.3592000000000013,2,5,4,3,9,3,19,20,3,4,0
CCOc1ccccc1CN2c3ccc(cc3C(=O)C2=O)Br,7.906308540852263,46.61,360.207,3.577300000000002,0,3,4,2,10,2,14,17,1,3,0
CCP(=[Au]S[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)(CC)CC,8.906363388924946,114.43,678.4910000000001,2.7925000000000004,0,10,10,0,27,5,34,20,0,9,0
CCc1cc(ccc1c2cc(cc(c2)Cl)CC(=O)Nc3cnccc3C)F,7.584976400546778,41.99,382.86600000000004,5.593120000000003,1,2,5,3,10,1,20,22,2,1,1
CCc1ccc(cc1C(=O)N2CCC(CC2)C3CCNC3)S(=O)(=O)C,7.00436480540245,66.48,364.511,2.1142000000000003,1,4,4,1,18,3,28,19,2,3,0
CCc1ccc2c(c1)C(=O)C(=O)N2CC(=O)O,7.00436480540245,74.68,233.22299999999996,0.8628999999999998,1,3,3,1,9,3,11,12,1,4,0
