DrugName,binding_energy,TPSA,molecular_weight,XLogPs-AA,HBD,HBA,n_ROTB,n_benzene_ring,n_single_bond,n_double_bond,n_h,n_c,n_n,n_o,n_f
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(C#N)cc3)cc2C(F)(F)F)c(O)c1,-9.5,61.09,435.445,6.77104,1,3,8,3,33,2,20,26,1,2,3
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C)cc2-c2ccccc2)c(O)c1,-9.2,37.3,356.465,6.18898,1,2,9,3,33,2,24,25,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C3C(=O)CC(C)(C)OC3=O)cc2C)c(O)c1,-9.1,80.67,420.505,4.90018,1,5,11,2,45,4,28,26,0,5,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(CCOC(C#N)CC#N)cc2C)c(O)c1,-8.2,94.11,402.494,4.88694,1,5,13,2,41,2,26,25,2,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C=Cc3ccc(C=CC=CC4C=CC(=O)C=C4)cc3)cc2C)c(O)c1,-9.8,54.37,526.676,8.57308,1,3,13,3,51,8,34,37,0,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3c(F)cccc3Cl)cc2C)c(O)c1,-8.4,37.3,408.9,6.98148,1,2,9,3,33,2,22,25,0,2,1
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccccc3C)cc2C)c(O)c1,-9.9,37.3,370.492,6.4974,1,2,10,3,36,2,26,26,0,2,0
CCOC(=O)C(C#N)(CC#N)c1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-7.7,111.18,430.504,4.76014,1,6,13,2,42,3,26,26,2,4,0
CCc1cc(C)cc(C)c1C=CC(=O)c1c(C)cc(C)cc1O,-8.2,37.3,308.421,5.08438,1,2,10,2,34,2,24,21,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C#CCC#N)cc2C)c(O)c1,-8.3,61.09,343.426,4.78716,1,3,8,2,32,2,21,23,1,2,0
C=CCc1ccccc1-c1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-10.1,37.3,396.53,6.91748,1,2,11,3,39,3,28,28,0,2,0
